,year,state,county,candidate,party,candidatevotes
41311,2016,Alaska,District 21,Hillary Clinton,DEM,4224.0
41312,2016,Alaska,District 21,Donald Trump,REP,3479.0
41313,2016,Alaska,District 21,Other,,944.0
41314,2016,Alaska,District 22,Hillary Clinton,DEM,3270.0
41315,2016,Alaska,District 22,Donald Trump,REP,4203.0
41316,2016,Alaska,District 22,Other,,899.0
41317,2016,Alaska,District 23,Hillary Clinton,DEM,2894.0
41318,2016,Alaska,District 23,Donald Trump,REP,3246.0
41319,2016,Alaska,District 23,Other,,784.0
41320,2016,Alaska,District 24,Hillary Clinton,DEM,3578.0
41321,2016,Alaska,District 24,Donald Trump,REP,4709.0
41322,2016,Alaska,District 24,Other,,793.0
41323,2016,Alaska,District 25,Hillary Clinton,DEM,3378.0
41324,2016,Alaska,District 25,Donald Trump,REP,3816.0
41325,2016,Alaska,District 25,Other,,933.0
41326,2016,Alaska,District 26,Hillary Clinton,DEM,3374.0
41327,2016,Alaska,District 26,Donald Trump,REP,4548.0
41328,2016,Alaska,District 26,Other,,983.0
41329,2016,Alaska,District 27,Hillary Clinton,DEM,3729.0
41330,2016,Alaska,District 27,Donald Trump,REP,4085.0
41331,2016,Alaska,District 27,Other,,969.0
41332,2016,Alaska,District 28,Hillary Clinton,DEM,4749.0
41333,2016,Alaska,District 28,Donald Trump,REP,5423.0
41334,2016,Alaska,District 28,Other,,1255.0
41335,2016,Alaska,District 29,Hillary Clinton,DEM,2101.0
41336,2016,Alaska,District 29,Donald Trump,REP,6347.0
41337,2016,Alaska,District 29,Other,,946.0
41338,2016,Alaska,District 30,Hillary Clinton,DEM,1816.0
41339,2016,Alaska,District 30,Donald Trump,REP,6194.0
41340,2016,Alaska,District 30,Other,,940.0
41341,2016,Alaska,District 31,Hillary Clinton,DEM,3466.0
41342,2016,Alaska,District 31,Donald Trump,REP,5617.0
41343,2016,Alaska,District 31,Other,,1099.0
41344,2016,Alaska,District 32,Hillary Clinton,DEM,2701.0
41345,2016,Alaska,District 32,Donald Trump,REP,3764.0
41346,2016,Alaska,District 32,Other,,1007.0
41347,2016,Alaska,District 33,Hillary Clinton,DEM,5978.0
41348,2016,Alaska,District 33,Donald Trump,REP,2732.0
41349,2016,Alaska,District 33,Other,,1224.0
41350,2016,Alaska,District 34,Hillary Clinton,DEM,4220.0
41351,2016,Alaska,District 34,Donald Trump,REP,3955.0
41352,2016,Alaska,District 34,Other,,1256.0
41353,2016,Alaska,District 35,Hillary Clinton,DEM,3749.0
41354,2016,Alaska,District 35,Donald Trump,REP,4105.0
41355,2016,Alaska,District 35,Other,,1188.0
41356,2016,Alaska,District 36,Hillary Clinton,DEM,2693.0
