year,candidate_ID,candidate_votes,total_votes,county_state_ID
2016,c2,194402.0,351726,253
2016,c1,132323.0,351726,253
2016,c2,54752.0,82090,254
2016,c1,20739.0,82090,254
2016,c2,7910.0,22998,255
2016,c1,13170.0,22998,255
2016,c2,96558.0,193665,256
2016,c1,80082.0,193665,256
2016,c2,3189.0,6939,257
2016,c1,3046.0,6939,257
2016,c2,159885.0,303046,258
2016,c1,117053.0,303046,258
2016,c2,2500.0,7339,259
2016,c1,4264.0,7339,259
2016,c2,283.0,2153,260
2016,c1,1753.0,2153,260
2016,c2,590.0,1927,261
2016,c1,1188.0,1927,261
2016,c2,132334.0,188142,262
2016,c1,41396.0,188142,262
2016,c2,19731.0,37689,263
2016,c1,14367.0,37689,263
2016,c2,4888.0,11250,264
2016,c1,5391.0,11250,264
2016,c2,132.0,1102,265
2016,c1,925.0,1102,265
2016,c2,2729.0,5866,266
2016,c1,2575.0,5866,266
2016,c2,1771.0,4022,267
2016,c1,1914.0,4022,267
2016,c2,1125.0,1848,268
2016,c1,588.0,1848,268
2016,c2,339.0,1527,269
2016,c1,1079.0,1527,269
2016,c2,797.0,3066,270
2016,c1,2061.0,3066,270
2016,c2,4087.0,16790,271
2016,c1,11655.0,16790,271
2016,c2,244551.0,331852,272
2016,c1,62690.0,331852,272
2016,c2,242.0,1255,273
2016,c1,944.0,1255,273
2016,c2,68657.0,187499,274
2016,c1,102573.0,187499,274
2016,c2,14099.0,25223,275
2016,c1,8990.0,25223,275
2016,c2,3134.0,15978,276
2016,c1,11705.0,15978,276
2016,c2,108010.0,318967,277
2016,c1,179228.0,318967,277
2016,c2,5297.0,21973,278
2016,c1,15122.0,21973,278
2016,c2,11271.0,26470,279
2016,c1,13132.0,26470,279
2016,c2,1634.0,3576,280
2016,c1,1566.0,3576,280
2016,c2,3358.0,8588,281
2016,c1,4494.0,8588,281
2016,c2,5128.0,9412,282
2016,c1,3289.0,9412,282
2016,c2,197.0,589,283
2016,c1,339.0,589,283
2016,c2,1633.0,3783,284
2016,c1,1883.0,3783,284
2016,c2,171.0,861,285
2016,c1,629.0,861,285
2016,c2,160776.0,328882,286
2016,c1,138177.0,328882,286
2016,c2,91.0,855,287
2016,c1,728.0,855,287
2016,c2,536.0,3702,288
2016,c1,2967.0,3702,288
2016,c2,1616.0,3199,289
2016,c1,1270.0,3199,289
2016,c2,15525.0,31150,290
2016,c1,12587.0,31150,290
2016,c2,93113.0,195980,291
2016,c1,83430.0,195980,291
2016,c2,2650.0,6793,292
2016,c1,3710.0,6793,292
2016,c2,409.0,2436,293
2016,c1,1892.0,2436,293
2016,c2,1851.0,9722,294
2016,c1,7282.0,9722,294
2016,c2,21729.0,77653,295
2016,c1,49779.0,77653,295
2016,c2,237.0,652,296
2016,c1,344.0,652,296
2016,c2,874.0,6525,297
